"Site","Channel","Date (UTC)","Value"
"SS16/1","T648 C1:TEMP","1481927937696","37.0"
"SS16/1","T648 C1:TEMP","1481930877986","39.0"
"SS16/1","T648 C1:TEMP","1481931692486","37.0"
"SS16/1","T648 C1:TEMP","1481931935486","39.0"
"SS16/1","T648 C1:TEMP","1481947165286","37.0"
"SS16/1","T648 C1:TEMP","1481947237296","39.0"
"SS16/1","T648 C1:TEMP","1481947242686","37.0"
"SS16/1","T648 C1:TEMP","1481947473986","39.0"
"SS16/1","T648 C1:TEMP","1481947479386","37.0"
"SS16/1","T648 C1:TEMP","1481952514886","35.0"
"SS16/1","T648 C1:TEMP","1481979181886","37.0"
"SS16/1","T648 C1:TEMP","1481985290196","39.0"
"SS16/1","T648 C1:TEMP","1481989365386","37.0"
"SS16/1","T648 C1:TEMP","1481994142586","35.0"
"SS16/1","T648 C1:TEMP","1481995290086","37.0"
"SS16/1","T648 C1:TEMP","1482000384086","35.0"
"SS16/1","T648 C1:TEMP","1482007359996","33.0"
"SS16/1","T648 C1:TEMP","1482007363586","35.0"
"SS16/1","T648 C1:TEMP","1482014502396","33.0"
"SS16/1","T648 C1:TEMP","1482014561796","35.0"
"SS16/1","T648 C1:TEMP","1482014600496","33.0"
"SS16/1","T648 C1:TEMP","1482014604086","35.0"
"SS16/1","T648 C1:TEMP","1482014615786","33.0"
"SS16/1","T648 C1:TEMP","1482014730986","35.0"
"SS16/1","T648 C1:TEMP","1482014752586","33.0"
"SS16/1","T648 C1:TEMP","1482014804796","35.0"
"SS16/1","T648 C1:TEMP","1482014813786","33.0"
"SS16/1","T648 C1:TEMP","1482018861986","35.0"
"SS16/1","T648 C1:TEMP","1482019049196","33.0"
"SS16/1","T648 C1:TEMP","1482019098696","35.0"
"SS16/1","T648 C1:TEMP","1482019100486","33.0"
"SS16/1","T648 C1:TEMP","1482019104086","35.0"
"SS16/1","T648 C1:TEMP","1482021239796","33.0"
"SS16/1","T648 C1:TEMP","1482021257786","35.0"
"SS16/1","T648 C1:TEMP","1482021318986","33.0"
"SS16/1","T648 C1:TEMP","1482021323496","35.0"
"SS16/1","T648 C1:TEMP","1482021598886","33.0"
"SS16/1","T648 C1:TEMP","1482021620486","35.0"
"SS16/1","T648 C1:TEMP","1482021781596","33.0"
"SS16/1","T648 C1:TEMP","1482021788786","35.0"
"SS16/1","T648 C1:TEMP","1482021801386","33.0"
"SS16/1","T648 C1:TEMP","1482021840086","35.0"
"SS16/1","T648 C1:TEMP","1482021878796","33.0"
"SS16/1","T648 C1:TEMP","1482021882386","35.0"
"SS16/1","T648 C1:TEMP","1482021885096","33.0"
"SS16/1","T648 C1:TEMP","1482021926496","35.0"
"SS16/1","T648 C1:TEMP","1482021987686","33.0"
"SS16/1","T648 C1:TEMP","1482022005686","35.0"
"SS16/1","T648 C1:TEMP","1482022011996","33.0"
"SS16/1","T648 C1:TEMP","1482022118196","35.0"
"SS16/1","T648 C1:TEMP","1482022280196","33.0"
"SS16/1","T648 C1:TEMP","1482022965986","35.0"
"SS16/1","T648 C1:TEMP","1482022977686","33.0"
"SS16/1","T648 C1:TEMP","1482023133396","35.0"
"SS16/1","T648 C1:TEMP","1482023184696","33.0"
"SS16/1","T648 C1:TEMP","1482023588796","35.0"
"SS16/1","T648 C1:TEMP","1482023596896","33.0"
"SS16/1","T648 C1:TEMP","1482023670686","35.0"
"SS16/1","T648 C1:TEMP","1482023884896","33.0"
"SS16/1","T648 C1:TEMP","1482023941596","35.0"
"SS16/1","T648 C1:TEMP","1482024030686","33.0"
"SS16/1","T648 C1:TEMP","1482024264696","35.0"
